type,entry_price,qty,entry_index,timestamp,exit_price,pnl
OpenLong,0.40876,122.3211664546433,41.0,2021-02-01 20:00:00,,
CloseLong,,,,2021-02-13 08:00:00,0.866,55.618269889421654
OpenLong,1.03422,75.23460670332311,150.0,2021-02-20 00:00:00,,
CloseLong,,,,2021-02-22 04:00:00,1.02138,-1.2753168651493678
OpenLong,1.26464,61.02248585537081,190.0,2021-02-26 16:00:00,,
CloseLong,,,,2021-03-02 16:00:00,1.18333,-5.260500754298945
OpenLong,1.22607,60.79687630803027,298.0,2021-03-16 16:00:00,,
CloseLong,,,,2021-03-19 00:00:00,1.20353,-1.6657857733389834
OpenShort,1.1015,133.83265228927317,335.0,2021-03-22 20:00:00,,
CloseShort (Stop),,,,2021-03-23 12:00:00,1.156575,-7.97524165746792
OpenShort,1.17274,118.90225014851242,410.0,2021-04-04 08:00:00,,
CloseShort (Reversal),,,,2021-04-05 20:00:00,1.2118,-5.211376233939173
OpenShort,1.17359,114.37558994642701,431.0,2021-04-07 20:00:00,,
CloseShort (Reversal),,,,2021-04-08 16:00:00,1.21414,-5.18412622709319
OpenLong,1.32612,48.65544685930914,456.0,2021-04-12 00:00:00,,
CloseLong,,,,2021-04-16 12:00:00,1.348,0.8043601701708583
OpenShort,1.24902,103.96173203656059,493.0,2021-04-18 04:00:00,,
CloseShort (Stop),,,,2021-04-18 08:00:00,1.1801920000000001,6.650387918604386
OpenLong,1.6608,41.094855029777605,602.0,2021-05-06 08:00:00,,
CloseLong,,,,2021-05-10 20:00:00,1.5726,-3.8903184221329528
OpenLong,1.9324,34.31234528171609,645.0,2021-05-13 12:00:00,,
CloseLong,,,,2021-05-17 16:00:00,2.0104,2.4057895020203643
OpenShort,1.5943,84.68678513880492,680.0,2021-05-19 08:00:00,,
CloseShort (TP),,,,2021-05-19 12:00:00,1.43487,12.988552816801837
OpenShort,1.5692,94.31856638006535,733.0,2021-05-28 04:00:00,,
CloseShort (Stop),,,,2021-05-29 12:00:00,1.4534,10.351915389330786
OpenShort,1.5659,101.12817533235157,797.0,2021-06-07 20:00:00,,
CloseShort (Stop),,,,2021-06-08 12:00:00,1.513928,4.632918756418017
OpenShort,1.362,119.66925734900684,982.0,2021-07-08 16:00:00,,
CloseShort (Stop),,,,2021-07-14 00:00:00,1.2653679999999998,10.93504932146417
OpenLong,1.3266,65.55275811503525,1086.0,2021-07-26 00:00:00,,
CloseLong,,,,2021-07-30 08:00:00,1.256,-4.966617829137268
OpenLong,1.3794,61.24327968742723,1122.0,2021-08-01 00:00:00,,
CloseLong,,,,2021-08-03 00:00:00,1.2927,-5.63708868420549
OpenLong,1.4468,56.4421037176765,1158.0,2021-08-07 00:00:00,,
CloseLong,,,,2021-08-09 00:00:00,1.3945,-3.27265992302055
OpenLong,1.5749,50.81218216853394,1178.0,2021-08-10 08:00:00,,
CloseLong,,,,2021-08-17 16:00:00,2.032,22.859699549509497
OpenLong,2.395,38.185367629218725,1234.0,2021-08-19 16:00:00,,
CloseLong,,,,2021-08-26 04:00:00,2.5872,6.958733381131258
OpenLong,2.845,33.36847879175552,1281.0,2021-08-27 12:00:00,,
CloseLong,,,,2021-08-31 00:00:00,2.719,-4.575752759755862
OpenLong,3.031,30.565966935884703,1314.0,2021-09-02 00:00:00,,
CloseLong,,,,2021-09-04 12:00:00,2.9,-4.366715168394367
OpenShort,2.182,82.91667112600308,1459.0,2021-09-26 04:00:00,,
CloseShort (Stop),,,,2021-09-26 08:00:00,2.2911,-9.787997943074402
OpenShort,2.186,78.28736434303033,1509.0,2021-10-04 12:00:00,,
CloseShort (Reversal),,,,2021-10-04 16:00:00,2.204,-2.096535617106371
OpenShort,2.208,76.55780925577804,1550.0,2021-10-11 08:00:00,,
CloseShort (Reversal),,,,2021-10-16 08:00:00,2.243,-3.3610409419471443
OpenShort,2.162,76.63210078390878,1622.0,2021-10-23 08:00:00,,
CloseShort (Reversal),,,,2021-10-26 04:00:00,2.18,-2.0448509773178403
OpenShort,1.974,82.89450401088801,1695.0,2021-11-04 12:00:00,,
CloseShort (Reversal),,,,2021-11-06 20:00:00,2.005,-3.2294040872561682
OpenLong,2.144,37.4077301376485,1722.0,2021-11-09 00:00:00,,
CloseLong,,,,2021-11-10 20:00:00,2.084,-2.5607835743028677
OpenShort,2.013,78.41210295873518,1743.0,2021-11-12 12:00:00,,
CloseShort (TP),,,,2021-11-16 08:00:00,1.8116999999999999,15.184550785220845
OpenShort,1.556,111.20058743004803,1871.0,2021-12-03 20:00:00,,
CloseShort (Stop),,,,2021-12-04 04:00:00,1.40192,16.47594162807962
OpenLong,1.499,63.21015866218624,2011.0,2021-12-27 04:00:00,,
CloseLong,,,,2021-12-28 16:00:00,1.43,-4.731786057133948
OpenShort,1.306,141.47953262794823,2028.0,2021-12-30 00:00:00,,
CloseShort (Stop),,,,2021-12-30 12:00:00,1.3713000000000002,-9.99617978601465
OpenLong,1.455,60.06051196772705,2136.0,2022-01-17 00:00:00,,
CloseLong,,,,2022-01-19 04:00:00,1.411,-2.986929381179004
OpenShort,1.207,142.32739059230056,2160.0,2022-01-21 00:00:00,,
CloseShort (Stop),,,,2022-01-21 20:00:00,1.1648,5.331071672981449
OpenShort,1.027,172.46371189667795,2237.0,2022-02-02 20:00:00,,
CloseShort (Reversal),,,,2022-02-04 00:00:00,1.053,-5.2015055508038115
OpenLong,1.18,72.8469180369002,2264.0,2022-02-07 08:00:00,,
CloseLong,,,,2022-02-11 00:00:00,1.143,-3.0337827485647404
OpenShort,1.079,156.51987378917485,2291.0,2022-02-11 20:00:00,,
CloseShort (TP),,,,2022-02-20 00:00:00,0.9711,16.24673159534159
OpenShort,0.878,210.85612233924968,2413.0,2022-03-04 04:00:00,,
CloseShort (Stop),,,,2022-03-07 16:00:00,0.8164,12.274187908714529
OpenLong,0.896,110.15952194340166,2505.0,2022-03-19 12:00:00,,
CloseLong,,,,2022-03-31 12:00:00,1.161,28.739077041726286
OpenShort,0.933,242.38471636045233,2704.0,2022-04-21 16:00:00,,
CloseShort (Stop),,,,2022-04-25 04:00:00,0.8665280000000001,15.239440698186597
OpenShort,0.7884,306.16994046485115,2789.0,2022-05-05 20:00:00,,
CloseShort (Stop),,,,2022-05-09 00:00:00,0.7345520000000001,15.554074707809622
OpenShort,0.5178,496.21177244167296,2896.0,2022-05-23 16:00:00,,
CloseShort (TP),,,,2022-05-26 12:00:00,0.46602000000000005,24.71747944510269
OpenLong,0.5698,247.15333030484467,2939.0,2022-05-30 20:00:00,,
CloseLong,,,,2022-06-10 08:00:00,0.6129,10.067692048635731
OpenShort,0.5744,507.87539565465994,3005.0,2022-06-10 20:00:00,,
CloseShort (Stop),,,,2022-06-11 04:00:00,0.6031200000000001,-15.782248234984424
OpenShort,0.4813,573.3251174507631,3070.0,2022-06-21 16:00:00,,
CloseShort (Reversal),,,,2022-06-24 04:00:00,0.4924,-7.4804021374270855
OpenShort,0.4741,566.2539061202808,3112.0,2022-06-28 16:00:00,,
CloseShort (Reversal),,,,2022-07-07 12:00:00,0.4703,1.0822244653770952
OpenShort,0.4527,595.4124174000492,3187.0,2022-07-11 04:00:00,,
CloseShort (Stop),,,,2022-07-13 12:00:00,0.433472,10.393314336263655
OpenShort,0.447,626.256187233257,3226.0,2022-07-17 16:00:00,,
